model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
qwen3,8B,4,17,26,20,AR-LSAT-dev,non expert,63,0,168,231,27.27,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-dev,expert,60,0,171,231,25.97,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-dev,neutral,58,0,173,231,25.11,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-test,non expert,55,0,175,230,23.91,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-test,expert,56,0,174,230,24.35,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-test,neutral,71,0,159,230,30.87,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-train,non expert,412,0,1218,1630,25.28,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-train,expert,396,0,1234,1630,24.29,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-train,neutral,417,0,1213,1630,25.58,default,0,
